,network_score,model_score,moded_network_score,diff,network_model_score
YGR092W,0.7757627651322136,0.4476483775844493,-0.4738989397582918,-0.32811438754776434,0.7971846074612898
YLR178C,0.7396115508005385,0.41148143003667315,0.09358314537525536,-0.3281301207638654,0.6275704147316556
YPL145C,0.880877123085819,0.552409620908022,-0.01827160434015762,-0.32846750217779697,0.8928201162636599
YOL083W,0.780260112098468,0.4517862306850966,-5.7602333022828685,-0.3284738814133714,0.6216517878135197
YIL015W,0.6616646640327335,0.33286071579035337,-0.12131854996841573,-0.32880394824238013,0.6929274200153375
YIL162W,0.8075589202729379,0.4784739426088128,0.17854946510750658,-0.32908497766412503,0.8605790659220994
YDR086C,0.7803916075457066,0.4507225110462464,0.8081542449295244,-0.3296690964994602,0.863934728173946
YPL049C,0.9444023861221952,0.6146851253666064,0.49675314486270816,-0.3297172607555888,0.9473058152934882
YDR145W,0.8826497497424558,0.5529027325655937,0.7538451238584616,-0.32974701717686206,0.9130447321534523
YHR096C,0.647513113603648,0.31773331265329496,-1.5331298511407883,-0.3297798009503531,0.5930513043485182
YIL099W,0.748510522798429,0.41870488902725744,-0.09391684140186074,-0.32980563377117156,0.7573463236384974
YPL202C,0.9262451338527109,0.5964121767224319,0.6084811366043704,-0.32983295713027905,0.9384924972519542
YIL005W,0.9147646168049207,0.5846589650804426,0.5869915414226188,-0.33010565172447814,0.908205120208679
YGL010W,0.7869534888153495,0.4566082066301167,0.577561470081914,-0.33034528218523285,0.7255160346232418
YMR073C,0.8537505256684912,0.5233813626652708,0.5745117738722946,-0.3303691630032204,0.8665146188024201
YHR063C,0.7660260236962458,0.4356220684606461,-0.043295843992031235,-0.33040395523559973,0.7208760119678077
YOR234C,0.49556593745539856,0.16455681907749187,0.8470254120100968,-0.3310091183779067,0.5804401051222763
YKL155C,0.9020399163250296,0.5709379592300792,0.7803976506851704,-0.3311019570949504,0.9216380703623325
YML128C,0.8102340562815308,0.47822891739767415,-1.4491525399982623,-0.33200513888385663,0.5949218979646267
YDR059C,0.8256555228561793,0.49340282502416255,0.39674823327646414,-0.3322526978320167,0.8821826130605078
YIL042C,0.7686749907344022,0.43581049545196526,0.38059683011608836,-0.3328644952824369,0.8498739263245438
YBL092W,0.9420710211285751,0.6088266236983786,0.6425262070030326,-0.3332443974301965,0.9465529431610642
YPL026C,0.8695445375209967,0.5362835323505076,0.03888354721383913,-0.33326100517048907,0.8931210379923685
YGR249W,0.9461027307310146,0.6126748490040974,0.832695796567808,-0.3334278817269172,0.9426560774876477
YLR133W,0.8650861421207576,0.5308944863341463,0.7530661128433145,-0.33419165578661136,0.9549421644171608
YHR115C,0.9542059148194586,0.6199652059177612,0.7852318992272741,-0.33424070890169744,0.9550510290950472
YIL041W,0.7862179179149166,0.45145470683944866,0.45029460179249536,-0.3347632110754679,0.8270685661063988
YJR148W,0.7467794242544202,0.4117276448057524,-10.653060818894943,-0.3350517794486678,0.7262831664881991
YJL168C,0.5984042726641043,0.2632293547788134,0.10733338353066535,-0.33517491788529097,0.30905672514900673
YDR144C,0.511151857946351,0.17515251472925253,0.7231152880984582,-0.33599934321709846,0.5888200486674844
YPL130W,0.7745818549593195,0.438305102553608,0.9379427154390647,-0.33627675240571153,0.6695026127699748
YPL076W,0.8827420905347163,0.5464503243415468,0.7099699717573875,-0.3362917661931695,0.8773584318303189
YJL134W,0.8343090746713986,0.49779138786956223,0.5981121789544547,-0.33651768680183636,0.8264663996634718
YBR067C,0.654738456382707,0.3178398761013881,0.7880516761938915,-0.3368985802813189,0.5727731447783198
YJL050W,-0.5557996807623964,-0.8930458313014764,-3.8098632189601442,-0.33724615053908,-0.2157658497361965
YHL019C,0.9313720116472969,0.5936650106320083,0.7826220244725921,-0.3377070010152886,0.9490322160592648
YEL051W,0.4857677502983757,0.14737629442851596,-5.180328949491843,-0.33839145586985975,0.7023943900661727
YPR152C,0.7019028128170632,0.3633994384233963,0.4671012822805328,-0.33850337439366696,0.6921065820179548
YKL134C,0.899131813430688,0.5602400950409037,0.5712501398429011,-0.3388917183897844,0.9399039342769073
YDL045C,0.7808664703379964,0.44192222907046386,-0.28146432503899343,-0.33894424126753253,0.8040144955270733
YJR155W,0.7848666928167772,0.44532022187900855,0.8290474396017734,-0.3395464709377687,0.6886935541201933
YMR107W,0.5295564868438687,0.18963515046889212,-0.08579599489940581,-0.33992133637497657,0.5745783120439618
YLR227C,0.8322428242407699,0.4919604812191928,0.7587429719805702,-0.3402823430215771,0.8001158618555548
YDR231C,0.8511627464420735,0.510797615312355,0.42794586429291925,-0.34036513112971845,0.8490623377292634
YER155C,0.733622031488182,0.39319868274398806,0.7432521828738246,-0.3404233487441939,0.8060405540493605
YOR099W,0.82732937663621,0.48687660207314265,0.09410277720814342,-0.34045277456306733,0.8362219785576781
YDR014W,0.9066816782519302,0.5661622189536407,0.4726582834013645,-0.34051945929828953,0.9064998174366062
YBR194W,0.809181862204929,0.46862818220839964,-0.35356827160250415,-0.3405536799965294,0.872812478919212
YNR026C,0.8555376363075066,0.5138748917239551,-0.3591080716095032,-0.3416627445835515,0.8627116534073132
