,network_score,model_score,moded_network_score,diff,network_model_score,all_linear_score
YOR026W,0.5605750587730449,-0.1775293487961551,0.704946456389947,-0.7381044075692,0.6339806035781492,0.18718895035361902
YLR120C,0.8544287721794619,0.1158707917123121,0.5790134502112523,-0.7385579804671497,0.8177474293074593,-0.8644628697212422
YPL099C,0.7995443335958634,0.0608647565392392,-0.5213738272928785,-0.7386795770566241,0.8257947534383504,0.13125015891689543
YGR005C,0.5572360455812195,-0.1815600622818149,-2.807091056619134,-0.7387961078630345,0.4291265913780795,-5.282916142268757
YJR109C,0.4156966825004471,-0.323308767803522,0.8054783997926198,-0.7390054503039691,0.5659777587834379,-19.5119530617558
YBR173C,0.9493916435584542,0.2103592613936341,0.5924063775554504,-0.73903238216482,0.9749421301163518,-0.20964290837061253
YNL246W,0.7548566099272721,0.0155446353763256,0.5428452758766888,-0.7393119745509464,0.509888136205034,-17.478497157155495
YPR165W,0.6003674415083984,-0.1393173937873382,0.5398987769383989,-0.7396848352957366,0.6542445416016409,-2.983807180607493
YLR218C,0.66454295593834,-0.0757308329488928,0.4345327099495064,-0.7402737888872328,0.6439168251648195,-2.0377132631531354
YKL052C,0.7600789115465509,0.0192207266506994,-0.1646957558217627,-0.7408581848958515,0.7652893154542244,-0.4028183706087602
YBR252W,-0.2530140952891253,-0.9943705146132308,-5.118459571676536,-0.7413564193241053,0.1879788894854719,-4.1715289232736446
YGL208W,0.7962813519288997,0.0542370834017875,0.4722678541628279,-0.7420442685271121,0.7057319744755046,0.07593167065861432
YDL055C,0.6888676917608108,-0.0534399641684795,-0.0113737770729256,-0.7423076559292903,0.7679233470963461,-0.5993514058966637
YJL177W,0.499930956300983,-0.2436978841775818,0.6016798317431252,-0.7436288404785649,0.687442462537333,0.3276345874108366
YKL213C,0.946333058030436,0.2013245810510622,0.7626278536505374,-0.7450084769793739,0.9487009382584916,-0.08728717440594817
YCR004C,0.792127521243154,0.046377247560832,-5.433992867767689,-0.7457502736823219,0.7620973335199528,-1.19822663380875
YNL260C,0.7318475517944962,-0.0142492886655984,-2.030432631148526,-0.7460968404600947,0.8231691839537416,0.26730018776799913
YDL117W,0.6541776535551299,-0.0923070031165227,-0.22007576749939,-0.7464846566716526,0.7206372751804351,-0.08506705939811163
YHR186C,0.9138436334960098,0.1672865054199707,0.8027456916513721,-0.7465571280760391,0.8796462608313825,-1.6142839552001955
YOR266W,0.9356060994144784,0.1884523462536876,0.4876227238390894,-0.7471537531607907,0.935251815184942,-0.3252985007984339
YLR104W,0.8600712048889971,0.1118270996372539,0.756227139671803,-0.7482441052517432,0.888339356280941,-0.662600416954669
YBL017C,0.8980513151906009,0.1495867302231747,0.3526664967714942,-0.7484645849674262,0.937957371078973,-0.27993617243992996
YHR216W,-0.37351812312522,-1.1220779322231715,-2.7318953611074823,-0.7485598090979515,0.3718395737939687,-0.4246710224634153
YAL038W,0.6415387205127121,-0.1077029757456824,-6.153670931001477,-0.7492416962583945,0.6984237450124096,-0.28600639803642486
YPR160W,0.661670766564544,-0.0877952126005057,-2.9963342909600232,-0.7494659791650498,0.460903749762772,-14.886315421657027
YDR267C,0.6319115567753593,-0.1179564865511519,-0.4253405988165499,-0.7498680433265112,0.6707226766924541,0.30569698012791907
YCR047C,0.0186864438163658,-0.7312536816002864,-0.4988873188217293,-0.7499401254166522,0.4571658737759795,-0.02464796824004507
YHL025W,0.8576729029265087,0.1072461289184331,0.5186219310338833,-0.7504267740080756,0.9114286724916416,-2.152800775441215
YBR058C-A,0.8683880605974519,0.1172843558264963,-1.854940909446316,-0.7511037047709556,0.8854765744634158,0.16533204649371785
YDR434W,0.8766223798151772,0.1250727046670315,0.7182982752026472,-0.7515496751481456,0.8643896235420689,-1.1871432019467116
YDL020C,0.6793938000257982,-0.0723778727529598,-0.7139211608975407,-0.751771672778758,0.6910301781935293,-0.13682519539803012
YKL173W,0.808583760791916,0.0545658447292319,0.8131590036896451,-0.754017916062684,0.7768194112030146,-0.5946399058842089
YDL107W,0.8125119095305771,0.0557849652989324,0.8181920202623615,-0.7567269442316447,0.8625993845200938,0.05026954850272327
YCR063W,0.8905416037218468,0.1337012314499919,-0.0834373672372341,-0.7568403722718549,0.8186714553171033,-0.8244135762839232
YHR189W,0.8455062421344637,0.0871948870962854,0.3534898920805492,-0.7583113550381783,0.9159140008559638,-0.9286353902949207
YPL183C,0.4291664296211822,-0.3295417222215846,0.1185065699458572,-0.7587081518427669,0.6019020286060919,-1.0421392640066076
