gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h
ydaL,18.9062,12.8084,11.1847,32.4737,22.6646,17.6954,10.184,9.9697,7.6764,5.8206,17.6269,8.8555,20.8372,38.4027,5.9158,18.7739,6.3268,23.2358,7.1878,6.5005
ydaM,13.5448,6.5203,11.7098,32.6875,18.2631,15.9886,5.4522,8.1057,7.5433,3.6261,13.9308,5.1202,22.0851,38.2374,6.5313,15.9061,5.3503,19.8588,7.0127,5.2407
ydaN,20.426,10.1979,10.6949,25.1798,18.0159,20.3045,8.6077,8.3097,5.4607,5.2043,18.3488,6.9177,18.4445,34.9722,7.6769,20.9824,7.061,20.5419,8.4872,5.7457
ydaO,64.7008,36.1188,26.6836,37.2118,30.3721,50.6284,28.8432,34.1571,14.0203,18.078,52.3825,31.9088,34.2763,42.2592,14.9711,60.2527,31.2984,35.5542,18.2672,16.8137
ydaP,253.3907,419.5581,161.028,41.9165,31.5437,270.9586,311.6918,161.087,24.1268,44.4702,295.0194,290.1924,188.884,47.5391,27.3732,283.0445,250.0334,156.7975,31.5406,27.7552
ydaS,830.2743,1416.7104,220.9562,54.243,32.858,922.5301,784.6977,249.4186,23.3224,37.2772,1003.9531,642.4143,247.9174,75.6083,25.358,927.5214,574.4048,187.4253,34.3296,23.9448
ydaT,159.813,231.4327,64.7021,48.9145,26.9827,180.3138,189.7104,61.9868,9.9622,13.1428,187.8099,134.2964,70.0682,71.0726,11.3027,176.5205,103.39,65.843,13.0347,10.2281
ydbA,56.3062,61.1038,35.7876,53.2562,51.9951,49.867,38.3403,34.6429,43.4696,36.627,45.6855,43.8668,38.1684,69.8353,45.1508,51.9442,47.7976,39.1777,50.4675,47.1442
ydbB,95.6919,100.9475,91.2057,91.3884,76.6687,102.169,92.6204,84.6711,112.8954,97.7553,95.078,108.5511,77.3413,78.0809,112.2829,97.9017,115.8253,77.3026,90.0257,87.0926
ydbC,68.1805,89.7414,67.9718,79.0441,67.3589,75.0014,82.6335,67.4375,84.9648,62.9718,75.4763,67.862,61.4512,77.3333,94.0266,70.0285,85.4382,67.1607,66.7793,71.7063
ydbD,355.0031,436.9545,113.5136,56.4668,56.1225,438.8843,345.814,106.396,39.9559,44.572,443.8084,255.83,131.3468,81.3307,34.2586,415.954,205.8,126.1755,50.0268,36.2356
ydbI,285.8366,264.3964,190.2471,172.774,178.8,268.0506,217.1123,218.3333,218.0965,230.5108,296.956,230.4146,156.4254,162.4094,224.2104,276.448,228.5876,132.4009,226.7033,247.2449
ydbJ,120.6214,74.1438,97.4652,75.2322,62.7386,101.8212,70.7183,109.4903,73.024,56.5678,109.3163,76.9955,85.8605,80.2906,63.2111,117.0683,80.4361,79.9518,60.967,52.6001
ydbK,137.5232,83.7201,119.3942,73.4964,78.2945,114.6292,86.4352,146.25,93.039,67.6828,126.4383,106.6581,108.6459,80.1445,74.8163,118.7373,97.9991,96.7985,70.0194,66.6501
ydbL,179.3059,449.6495,739.4737,517.165,1158.2452,212.714,392.6729,844.4196,606.6426,925.4953,178.3062,696.4407,603.3,613.819,1486.5904,189.3349,809.305,574.9909,1146.6714,1470.2412
ydbM,239.7081,246.5331,147.3551,150.8154,184.7618,243.5259,174.2561,135.0196,168.6753,221.995,242.54,183.5011,123.378,156.9968,217.1848,235.6244,209.4273,112.3891,203.3375,232.1862
ydbN,67.4637,163.7537,486.5801,1088.4762,1735.4399,89.5232,202.3677,457.6531,1582.7497,1509.455,87.8747,229.7368,353.3307,980.4356,2405.2481,76.3704,264.7157,347.3964,1836.2523,1855.1324
ydbO,135.1824,179.5916,139.5321,126.9087,139.7877,134.6295,165.0145,158.8144,153.0716,155.5443,156.8969,155.2855,109.3506,116.4962,144.9946,141.2302,143.5981,106.1216,152.183,147.5953
ydbP,688.1771,818.9701,507.6421,265.2162,483.9648,585.2616,719.9323,692.5234,567.0394,378.0807,613.3391,702.1234,392.5286,238.3571,451.0439,595.774,688.1513,348.4451,461.8384,434.396
ydbS,296.9984,574.7406,198.8736,125.3691,145.8075,258.5656,603.6834,224.8594,195.3494,162.6773,266.3324,506.4699,170.3267,122.7074,185.4852,262.1966,463.1139,168.0587,149.8142,176.0481
ydbT,277.2055,438.3414,220.2726,145.7387,160.9644,218.1682,456.6586,217.3026,197.5951,204.73,218.2086,414.8647,179.9403,130.0922,188.0979,248.2539,358.3247,169.8522,177.8695,208.8735
ydcA,112.8077,110.857,76.6364,98.3516,96.274,109.6659,102.3737,87.2625,92.7648,88.1606,94.6547,91.0149,73.3407,125.3115,112.3578,107.9971,88.1567,70.8012,97.0058,92.2988
ydcC,47.7165,65.3579,65.3575,66.1786,46.5489,43.6683,71.8671,77.1875,66.4098,64.7438,41.9804,66.769,72.9972,72.5235,55.5919,40.4461,77.2088,67.9229,56.0679,74.2015
ydcF,4.5913,11.7309,11.6191,57.5913,41.3768,2.8012,17.0028,3.6111,6.1905,5.654,9.6236,7.3924,38.5925,67.8055,12.2911,6.0789,5.7534,39.055,11.7157,2.7239
ydcG,55.0954,57.4575,49.3897,68.757,95.2212,74.6026,61.8346,37.8061,88.12,91.907,73.734,64.0873,40.8948,76.0127,68.3712,74.5839,67.632,50.2136,92.769,89.0544
ydcH,72.0335,70.6232,38.7603,58.8366,82.145,65.9222,42.8056,38.2095,66.067,68.5934,54.676,54.4838,28.1621,62.7027,76.2378,62.5466,39.3603,33.5888,62.6947,79.508
ydcI,108.469,82.9961,92.123,90.0585,80.0458,104.0985,83.016,85.8542,96.3398,95.6239,101.8724,84.1622,82.9368,94.8692,86.9153,104.0397,95.7943,83.794,97.9235,95.3019
ydcK,128.6167,139.1393,54.0173,89.5908,97.0508,115.2005,92.423,56.8212,81.3581,93.5163,113.0793,93.0558,56.7977,102.0101,119.3058,128.6948,90.5305,60.3561,94.5013,104.2292
ydcL,79.7315,124.462,84.2892,117.7813,127.336,92.4387,105.2513,92.4797,165.5585,158.6578,97.9794,99.9593,78.416,120.6128,144.9231,87.0019,113.8755,72.0545,168.4009,174.5944
ydcO,28.4976,32.7656,28.8475,72.3864,50.6089,26.9492,35.8817,16.8103,27.8573,42.9902,46.0794,38.5423,41.4588,71.8367,47.9533,24.9024,33.9253,46.7506,38.7829,44.8032
ydcP,5.2059,6.6506,9.8808,37.3437,21.7329,4.7642,1.4459,3.0709,5.2644,4.8082,2.3382,3.1432,15.1472,42.2518,11.9454,4.1355,6.1158,24.3161,11.6234,14.4773
ydcQ,2.2336,0.2195,2.7952,27.6402,12.9793,1.7296,0.7635,1.2162,4.1699,2.6977,0.9261,0.6639,13.3312,30.0553,3.154,1.3649,0.8074,13.9366,3.7997,3.9754
ydcR,3.2776,1.1964,4.5705,24.8883,10.0529,2.571,2.601,1.1048,4.735,4.1084,1.8928,2.714,11.8073,35.4096,5.1034,1.8598,0.4401,13.4425,6.5714,6.2503
ydcS,0.9183,1.1731,5.9755,38.0103,19.7148,1.6807,2.0403,1.0833,8.3572,5.0886,3.2995,1.7742,22.2649,60.3235,8.4282,1.4589,1.726,26.7806,10.1536,8.1717
ydcT,2.7857,0.0,6.0427,32.3223,24.3666,0.8498,1.0316,0.0,3.756,5.1458,2.5024,4.4853,19.8133,58.164,10.6536,4.426,0.0,27.9278,7.1084,3.3054
yddA,1.6047,2.0501,2.6107,24.9097,8.2943,0.7343,1.7828,1.8932,4.0569,4.4464,1.4415,1.5502,13.2293,30.6453,5.5233,2.5496,0.0,13.1628,2.7299,2.1421
yddB,0.0,1.487,5.8072,28.9092,16.6604,1.7044,1.5518,1.6479,2.825,2.5802,0.0,0.8996,12.4182,38.7667,6.6772,0.7397,0.4376,15.2763,6.1384,6.6294
yddC,0.9957,1.272,8.6393,26.2283,17.4187,1.8224,1.1062,2.3494,5.0345,7.3571,0.0,0.9619,27.0398,57.8051,3.4271,0.791,0.9358,22.6869,9.3161,4.4304
yddD,1.4167,3.0165,5.1219,26.2123,12.7677,1.7287,1.574,1.6714,4.7755,4.3617,2.1211,2.2811,12.8246,33.5487,3.2509,2.2509,1.3315,15.0641,8.0336,6.3038
