gene_name,rep1@8h,rep1@12h,rep1@16h,rep1@20h,rep1@24h,rep1@28h,rep1@32h,rep2@8h,rep2@12h,rep2@16h,rep2@20h,rep2@24h,rep2@28h,rep2@32h,rep3@8h,rep3@12h,rep3@16h,rep3@20h,rep3@24h,rep3@28h,rep3@32h,rep4@8h,rep4@12h,rep4@16h,rep4@20h,rep4@24h,rep4@28h,rep4@32h
ysmB,272.6658,200.3829,193.2906,155.4966,175.6898,104.2155,202.7284,238.2139,212.9857,192.3469,225.701,241.9697,186.7758,236.6208,252.0086,175.9686,127.0464,167.4857,224.464,223.7466,115.4439,255.9077,201.3108,125.0217,235.2698,197.1203,131.0653,163.8548
ysnA,183.8386,245.092,181.0956,125.3493,118.0206,125.7382,100.3988,185.2203,208.4574,175.5995,165.8647,162.0055,149.235,122.7249,163.6288,220.7755,134.5438,103.3902,137.3875,132.0857,124.0107,172.1683,204.0847,139.4965,136.2844,148.5907,139.7643,129.3761
ysnB,201.7462,269.5346,168.7213,112.049,134.5246,117.5422,185.3176,199.7565,226.837,174.9265,159.2782,189.0278,181.2356,126.5648,181.2305,204.2904,168.7943,124.4017,162.3039,181.0102,130.8944,179.9629,226.1599,152.8562,163.7437,188.621,127.3742,146.5462
ysnD,5.1652,9.4266,13.605,53.452,21.7098,89.2062,32.9434,3.3764,8.1978,20.0223,15.6697,10.9042,39.6965,180.2615,1.9885,4.9899,27.9107,47.9106,9.3124,94.5988,68.5552,2.3447,6.2414,20.8476,24.4774,8.5365,53.789,76.0369
ysnE,19.0296,28.4783,33.0228,56.7767,31.561,115.9785,24.2741,29.8546,18.7254,18.602,31.8893,22.0954,54.3948,70.2071,18.5598,23.6361,40.0769,64.3752,21.209,51.5206,91.3763,25.4832,20.9508,44.1021,29.135,39.1917,62.0683,67.3162
ysnF,392.4036,535.2115,106.6439,32.3478,25.423,69.8485,26.9318,468.9713,332.0753,102.1259,18.6054,25.6289,31.5986,49.2627,441.9117,282.3455,99.1683,38.707,15.226,18.8297,62.4707,431.2887,220.824,97.5867,21.2934,17.9836,41.6918,43.1419
ysoA,276.2639,203.4473,190.9329,159.6925,137.6907,120.5274,161.2817,283.5586,221.5218,181.3809,176.4296,170.3481,132.9717,139.9058,274.3308,211.8865,129.5183,145.4978,195.9545,131.3232,126.2231,274.2783,232.7667,135.3377,167.5899,157.3627,146.324,117.8256
ysxB,6080.4799,6102.9733,4686.3082,2251.2606,3178.2137,1144.702,3163.0411,4908.0246,5247.2658,6261.5707,4282.8758,3594.2417,3262.8907,1942.8676,4712.5344,5148.4667,3219.6265,1754.7691,3799.3807,3115.331,1311.7957,5166.1512,5340.7464,2730.1996,3525.899,3582.8729,2248.1973,2021.8915
ysxD,103.5527,76.3215,70.7346,67.4443,56.6108,82.9247,38.1846,92.4893,85.1777,86.9277,73.503,49.2003,63.4338,60.8111,85.8668,75.99,70.4967,70.7352,65.1151,42.7354,71.5907,100.8505,86.5612,67.1532,55.8965,48.2915,62.6539,59.7247
ysxE,8.216,18.5225,39.3128,39.7835,28.8228,72.9694,76.0725,7.7401,27.6519,63.0044,44.7183,45.5299,99.6668,171.027,8.0317,28.0132,48.7485,49.1005,31.0511,169.7149,88.9453,9.0223,36.5645,42.9459,38.2301,49.8901,53.1777,104.2495
ytaB,40.262,139.4172,89.0586,25.4177,17.6928,60.6297,10.3097,49.4515,108.2946,105.0,9.1072,12.2323,38.0001,52.1372,68.0524,117.7093,99.6784,32.374,10.9404,12.9928,47.9651,56.814,120.9877,88.8395,14.8699,8.9574,31.6957,31.7766
ytaP,15.4267,19.0041,30.1765,51.8322,36.801,111.6042,36.5812,11.5969,21.4235,29.25,21.7287,23.9166,23.14,65.9517,16.58,24.7497,37.1379,61.6562,20.2276,24.8754,96.018,14.2245,25.3726,40.9241,29.7578,24.515,66.1164,68.6375
ytbD,19.1515,9.5738,7.6764,28.7884,20.0293,66.7751,5.9576,12.9545,11.5636,9.5781,7.7888,4.2298,10.2166,35.5982,13.464,8.4463,14.9405,36.8916,7.8815,6.0338,51.9853,17.0331,12.5213,20.6799,8.6761,5.5575,30.4926,29.7756
ytbE,20.5872,10.5202,12.4402,33.4788,22.6849,67.7925,8.7536,14.265,14.05,13.879,8.9223,17.113,16.9324,34.487,15.0592,11.3648,17.6852,40.214,15.5216,16.3934,52.7345,16.1209,11.3328,27.6086,13.5085,17.2739,38.0239,33.0205
ytbJ,172.2455,82.2398,104.2575,74.8839,69.0018,82.6164,86.8887,130.5641,77.8011,118.7961,84.4516,88.7833,74.3054,78.0248,129.5275,81.9386,96.6063,87.7164,70.364,74.6746,80.4369,150.6534,77.8755,92.7631,78.4333,78.1898,78.6697,78.6053
ytbQ,314.3038,278.909,525.0952,273.9556,264.6752,179.8921,234.6541,297.4646,391.4788,608.4153,403.7116,390.3623,252.1186,159.8791,301.6325,408.3034,433.5875,274.3885,352.3896,244.1108,172.1324,308.0978,451.6543,450.7365,363.6471,294.7587,212.5667,191.6604
